"","len","cluster"
"355",297,"2"
"356",125,"1"
"357",124,"1"
"358",156,"1"
"359",141,"1"
"360",62,"1"
"361",147,"1"
"362",254,"2"
"363",119,"1"
"364",199,"2"
"365",129,"1"
"366",150,"1"
"367",226,"2"
"368",288,"2"
"369",156,"1"
"370",163,"1"
"371",147,"1"
"372",153,"1"
"373",52,"1"
"374",82,"1"
"375",213,"2"
"376",132,"1"
"377",240,"2"
"378",234,"2"
"379",132,"1"
"380",120,"1"
"381",124,"1"
"382",126,"1"
"383",62,"1"
"384",125,"1"
"385",41,"1"
"386",158,"1"
"387",90,"1"
"388",125,"1"
"389",100,"1"
"390",67,"1"
"391",159,"1"
"392",33,"1"
"393",121,"1"
"394",121,"1"
"395",40,"1"
"396",97,"1"
"397",201,"2"
"398",121,"1"
"399",135,"1"
"400",148,"1"
"401",162,"1"
"402",122,"1"
"403",140,"1"
"404",126,"1"
"405",126,"1"
"406",164,"1"
"407",67,"1"
"408",124,"1"
"409",126,"1"
"410",133,"1"
"411",121,"1"
"412",105,"1"
"413",40,"1"
"414",122,"1"
"415",143,"1"
"416",146,"1"
"417",31,"1"
"418",122,"1"
"419",125,"1"
"420",43,"1"
"421",176,"1"
"422",142,"1"
"423",120,"1"
"424",75,"1"
"425",41,"1"
"426",147,"1"
"427",82,"1"
"428",134,"1"
"429",205,"2"
"430",118,"1"
"431",43,"1"
"432",136,"1"
"433",156,"1"
"434",120,"1"
"435",125,"1"
"436",131,"1"
"437",102,"1"
"438",127,"1"
"439",58,"1"
"440",119,"1"
"441",160,"1"
"442",129,"1"
"443",132,"1"
"444",143,"1"
"445",127,"1"
"446",132,"1"
"447",124,"1"
"448",121,"1"
"449",123,"1"
"450",124,"1"
"451",118,"1"
"452",125,"1"
"453",119,"1"
"454",122,"1"
"455",112,"1"
"456",152,"1"
"457",128,"1"
"458",44,"1"
"459",128,"1"
"460",119,"1"
"461",147,"1"
"462",168,"1"
"463",152,"1"
"464",126,"1"
"465",123,"1"
"466",31,"1"
"467",110,"1"
"468",52,"1"
"469",64,"1"
"470",147,"1"
"471",128,"1"
"472",185,"1"
"473",130,"1"
"474",59,"1"
"475",51,"1"
"476",123,"1"
"477",123,"1"
"478",74,"1"
"479",50,"1"
"480",135,"1"
"481",34,"1"
"482",85,"1"
"483",53,"1"
"484",138,"1"
"485",189,"2"
"486",75,"1"
"487",58,"1"
"488",88,"1"
"489",132,"1"
"490",121,"1"
"491",30,"1"
"492",139,"1"
"493",51,"1"
"494",67,"1"
"495",124,"1"
"496",74,"1"
"497",121,"1"
"498",121,"1"
"499",66,"1"
"500",249,"2"
"501",156,"1"
"502",78,"1"
"503",200,"2"
"504",133,"1"
"505",152,"1"
"506",119,"1"
"507",121,"1"
"508",123,"1"
"509",127,"1"
"510",85,"1"
"511",56,"1"
"512",115,"1"
"513",120,"1"
"514",386,"2"
"515",46,"1"
"516",108,"1"
"517",105,"1"
"518",218,"2"
"519",130,"1"
"520",107,"1"
"521",50,"1"
"522",179,"1"
"523",71,"1"
"524",130,"1"
"525",121,"1"
"526",74,"1"
"527",124,"1"
"528",267,"2"
"529",41,"1"
"530",109,"1"
"531",95,"1"
"532",53,"1"
"533",133,"1"
"534",125,"1"
"535",47,"1"
"536",150,"1"
"537",138,"1"
"538",134,"1"
"539",124,"1"
"540",203,"2"
"541",51,"1"
"542",119,"1"
"543",148,"1"
"544",121,"1"
"545",57,"1"
"546",63,"1"
"547",341,"2"
"548",125,"1"
"549",82,"1"
"550",137,"1"
"551",126,"1"
"552",35,"1"
"553",121,"1"
"554",121,"1"
"555",29,"1"
"556",132,"1"
"557",126,"1"
"558",430,"2"
"559",34,"1"
"560",65,"1"
"561",63,"1"
"562",121,"1"
"563",39,"1"
"564",79,"1"
"565",36,"1"
"566",33,"1"
"567",134,"1"
"568",123,"1"
"569",49,"1"
"570",58,"1"
"571",151,"1"
"572",54,"1"
"573",142,"1"
"574",82,"1"
"575",45,"1"
"576",42,"1"
"577",143,"1"
"578",128,"1"
"579",124,"1"
"580",128,"1"
"581",134,"1"
"582",138,"1"
"583",201,"2"
"584",122,"1"
"585",124,"1"
"586",166,"1"
"587",103,"1"
"588",123,"1"
"589",67,"1"
"590",261,"2"
"591",120,"1"
"592",132,"1"
"593",259,"2"
"594",149,"1"
"595",65,"1"
"596",206,"2"
"597",62,"1"
"598",124,"1"
"599",150,"1"
"600",187,"1"
"601",60,"1"
"602",258,"2"
"603",133,"1"
"604",138,"1"
"605",72,"1"
"606",40,"1"
"607",56,"1"
"608",150,"1"
"609",128,"1"
"610",120,"1"
"611",134,"1"
"612",88,"1"
"613",123,"1"
"614",129,"1"
"615",175,"1"
"616",121,"1"
"617",67,"1"
"618",152,"1"
"619",127,"1"
"620",117,"1"
"621",131,"1"
"622",163,"1"
"623",185,"1"
"624",82,"1"
"625",117,"1"
"626",225,"2"
"627",229,"2"
"628",240,"2"
"629",161,"1"
"630",159,"1"
"631",129,"1"
"632",62,"1"
"633",141,"1"
"634",131,"1"
"635",126,"1"
"636",123,"1"
"637",49,"1"
"638",44,"1"
"639",139,"1"
"640",61,"1"
"641",128,"1"
"642",126,"1"
"643",50,"1"
"644",70,"1"
"645",85,"1"
"646",82,"1"
"647",150,"1"
"648",70,"1"
"649",156,"1"
"650",131,"1"
"651",44,"1"
"652",170,"1"
"653",26,"1"
"654",180,"1"
"655",120,"1"
"656",122,"1"
"657",157,"1"
"658",60,"1"
"659",122,"1"
"660",58,"1"
"661",127,"1"
"662",51,"1"
"663",135,"1"
"664",106,"1"
"665",63,"1"
"666",78,"1"
"667",403,"2"
"668",226,"2"
"669",143,"1"
"670",124,"1"
"671",129,"1"
"672",80,"1"
"673",242,"2"
"674",50,"1"
"675",91,"1"
"676",161,"1"
"677",44,"1"
"678",36,"1"
"679",124,"1"
"680",152,"1"
"681",71,"1"
"682",92,"1"
"683",141,"1"
"684",442,"2"
"685",184,"1"
"686",120,"1"
"687",155,"1"
"688",74,"1"
"689",99,"1"
"690",130,"1"
"691",49,"1"
"692",29,"1"
"693",125,"1"
"694",122,"1"
"695",113,"1"
"696",122,"1"
"697",530,"2"
"698",101,"1"
"699",62,"1"
"700",428,"2"
"701",102,"1"
"702",222,"2"
"703",203,"2"
"704",314,"2"
"705",85,"1"
"706",116,"1"
"707",127,"1"
"708",77,"1"
"709",43,"1"
"710",55,"1"
"711",35,"1"
"712",87,"1"
"713",122,"1"
"714",120,"1"
"715",180,"1"
"716",149,"1"
"717",127,"1"
"718",59,"1"
"719",113,"1"
"720",122,"1"
"721",88,"1"
"722",42,"1"
"723",53,"1"
"724",204,"2"
"725",79,"1"
"726",71,"1"
"727",128,"1"
"728",80,"1"
"729",98,"1"
"730",254,"2"
"731",141,"1"
"732",152,"1"
"733",48,"1"
"734",129,"1"
"735",99,"1"
"736",39,"1"
"737",94,"1"
"738",68,"1"
"739",166,"1"
"740",54,"1"
"741",133,"1"
"742",127,"1"
"743",203,"2"
"744",204,"2"
"745",45,"1"
"746",137,"1"
"747",85,"1"
"748",62,"1"
"749",177,"1"
"750",303,"2"
"751",156,"1"
"752",54,"1"
"753",134,"1"
"754",127,"1"
"755",153,"1"
"756",119,"1"
"757",47,"1"
"758",31,"1"
"759",50,"1"
"760",126,"1"
"761",126,"1"
"762",48,"1"
"763",122,"1"
"764",92,"1"
"765",70,"1"
"766",118,"1"
"767",51,"1"
"768",38,"1"
"769",89,"1"
"770",33,"1"
"771",131,"1"
"772",128,"1"
"773",630,"2"
"774",171,"1"
"775",57,"1"
"776",122,"1"
"777",61,"1"
"778",139,"1"
"779",206,"2"
"780",42,"1"
"781",119,"1"
"782",58,"1"
"783",76,"1"
"784",93,"1"
"785",120,"1"
"786",66,"1"
"787",243,"2"
"788",143,"1"
"789",156,"1"
"790",598,"2"
"791",151,"1"
"792",232,"2"
"793",63,"1"
"794",126,"1"
"795",67,"1"
"796",134,"1"
"797",772,"2"
"798",52,"1"
"799",186,"1"
"800",146,"1"
"801",63,"1"
"802",261,"2"
"803",137,"1"
"804",73,"1"
"805",796,"2"
"806",101,"1"
"807",133,"1"
"808",154,"1"
"809",74,"1"
"810",149,"1"
"811",113,"1"
"812",45,"1"
"813",121,"1"
"814",235,"2"
"815",203,"2"
"816",155,"1"
"817",53,"1"
"818",200,"2"
"819",111,"1"
"820",735,"2"
"821",256,"2"
"822",210,"2"
"823",173,"1"
"824",218,"2"
"825",152,"1"
"826",152,"1"
"827",140,"1"
"828",220,"2"
"829",208,"2"
"830",137,"1"
"831",186,"1"
"832",52,"1"
"833",108,"1"
"834",97,"1"
"835",65,"1"
"836",36,"1"
"837",129,"1"
"838",137,"1"
"839",141,"1"
"840",125,"1"
"841",198,"2"
"842",208,"2"
"843",158,"1"
"844",39,"1"
"845",177,"1"
"846",44,"1"
"847",197,"2"
"848",148,"1"
"849",128,"1"
"850",37,"1"
"851",35,"1"
"852",132,"1"
"853",63,"1"
"854",303,"2"
"855",11,"1"
"856",181,"1"
"857",132,"1"
"858",126,"1"
"859",23,"1"
"860",125,"1"
"861",150,"1"
"862",155,"1"
"863",67,"1"
"864",150,"1"
"865",168,"1"
"866",36,"1"
"867",123,"1"
"868",151,"1"
"869",234,"2"
"870",128,"1"
"871",69,"1"
"872",45,"1"
"873",163,"1"
"874",55,"1"
"875",128,"1"
"876",122,"1"
"877",185,"1"
"878",152,"1"
"879",164,"1"
"880",118,"1"
"881",58,"1"
"882",36,"1"
"883",59,"1"
"884",72,"1"
"885",145,"1"
"886",154,"1"
"887",60,"1"
"888",83,"1"
"889",142,"1"
"890",194,"2"
"891",44,"1"
"892",128,"1"
"893",142,"1"
"894",30,"1"
"895",259,"2"
"896",162,"1"
"897",153,"1"
"898",139,"1"
"899",288,"2"
"900",134,"1"
"901",74,"1"
"902",131,"1"
"903",88,"1"
"904",39,"1"
"905",147,"1"
"906",47,"1"
"907",120,"1"
"908",91,"1"
"909",93,"1"
"910",226,"2"
"911",74,"1"
"912",148,"1"
"913",81,"1"
"914",57,"1"
"915",144,"1"
"916",158,"1"
"917",70,"1"
"918",121,"1"
"919",130,"1"
"920",73,"1"
"921",120,"1"
"922",95,"1"
"923",129,"1"
"924",61,"1"
"925",100,"1"
"926",41,"1"
"927",152,"1"
"928",103,"1"
"929",138,"1"
"930",102,"1"
"931",173,"1"
"932",41,"1"
"933",131,"1"
"934",103,"1"
"935",73,"1"
"936",141,"1"
"937",130,"1"
"938",60,"1"
"939",134,"1"
"940",51,"1"
"941",103,"1"
"942",128,"1"
"943",189,"2"
"944",213,"2"
"945",309,"2"
"946",125,"1"
"947",134,"1"
"948",133,"1"
"949",130,"1"
"950",122,"1"
"951",49,"1"
"952",235,"2"
"953",120,"1"
"954",121,"1"
"955",154,"1"
"956",122,"1"
"957",120,"1"
"958",123,"1"
"959",127,"1"
"960",134,"1"
"961",253,"2"
"962",119,"1"
"963",240,"2"
"964",154,"1"
"965",150,"1"
"966",232,"2"
"967",71,"1"
"968",168,"1"
"969",86,"1"
"970",155,"1"
"971",214,"2"
"972",177,"1"
"973",287,"2"
"974",303,"2"
"975",223,"2"
"976",173,"1"
"977",787,"2"
"978",360,"2"
"979",127,"1"
"980",243,"2"
"981",153,"1"
"982",56,"1"
"983",204,"2"
"984",51,"1"
"985",87,"1"
"986",51,"1"
"987",122,"1"
"988",135,"1"
"989",235,"2"
"990",137,"1"
"991",138,"1"
"992",288,"2"
"993",131,"1"
"994",74,"1"
"995",162,"1"
"996",120,"1"
"997",137,"1"
"998",166,"1"
"999",139,"1"
"1000",36,"1"
"1001",39,"1"
"1002",154,"1"
"1003",324,"2"
"1004",57,"1"
"1005",37,"1"
"1006",170,"1"
"1007",122,"1"
"1008",214,"2"
"1009",102,"1"
"1010",433,"2"
"1011",52,"1"
"1012",52,"1"
"1013",113,"1"
"1014",255,"2"
"1015",124,"1"
"1016",121,"1"
"1017",168,"1"
"1018",131,"1"
"1019",43,"1"
"1020",125,"1"
"1021",121,"1"
"1022",206,"2"
"1023",56,"1"
"1024",48,"1"
"1025",188,"2"
"1026",36,"1"
"1027",189,"2"
"1028",179,"1"
"1029",37,"1"
"1030",144,"1"
"1031",29,"1"
"1032",140,"1"
"1033",124,"1"
"1034",39,"1"
"1035",123,"1"
"1036",317,"2"
"1037",592,"2"
"1038",169,"1"
"1039",110,"1"
"1040",46,"1"
"1041",121,"1"
"1042",156,"1"
"1043",126,"1"
"1044",246,"2"
"1045",103,"1"
"1046",320,"2"
"1047",50,"1"
"1048",158,"1"
"1049",36,"1"
"1050",65,"1"
"1051",139,"1"
"1052",89,"1"
"1053",135,"1"
"1054",74,"1"
"1055",189,"2"
"1056",42,"1"
"1057",76,"1"
"1058",57,"1"
"1059",164,"1"
"1060",141,"1"
"1061",269,"2"
"1062",152,"1"
"1063",183,"1"
"1064",85,"1"
"1065",159,"1"
"1066",69,"1"
"1067",109,"1"
"1068",149,"1"
"1069",42,"1"
"1070",48,"1"
"1071",30,"1"
"1072",42,"1"
"1073",96,"1"
"1074",197,"2"
"1075",66,"1"
"1076",99,"1"
"1077",416,"2"
"1078",184,"1"
"1079",304,"2"
"1080",31,"1"
"1081",141,"1"
"1082",51,"1"
"1083",59,"1"
"1084",76,"1"
"1085",52,"1"
"1086",32,"1"
"1087",153,"1"
"1088",135,"1"
"1089",59,"1"
"1090",119,"1"
"1091",32,"1"
"1092",136,"1"
"1093",101,"1"
"1094",138,"1"
"1095",102,"1"
"1096",72,"1"
"1097",58,"1"
"1098",35,"1"
"1099",33,"1"
"1100",73,"1"
"1101",141,"1"
"1102",126,"1"
"1103",254,"2"
"1104",174,"1"
"1105",137,"1"
"1106",198,"2"
"1107",137,"1"
"1108",182,"1"
"1109",141,"1"
"1110",67,"1"
"1111",114,"1"
"1112",125,"1"
"1113",148,"1"
"1114",126,"1"
"1115",125,"1"
"1116",132,"1"
"1117",149,"1"
"1118",122,"1"
"1119",32,"1"
"1120",133,"1"
"1121",125,"1"
"1122",224,"2"
"1123",126,"1"
"1124",165,"1"
"1125",127,"1"
"1126",79,"1"
"1127",33,"1"
"1128",88,"1"
"1129",122,"1"
"1130",67,"1"
"1131",95,"1"
"1132",138,"1"
"1133",127,"1"
"1134",206,"2"
"1135",66,"1"
"1136",443,"2"
"1137",77,"1"
"1138",65,"1"
"1139",124,"1"
"1140",53,"1"
"1141",126,"1"
"1142",35,"1"
"1143",59,"1"
"1144",135,"1"
"1145",62,"1"
"1146",126,"1"
"1147",50,"1"
"1148",49,"1"
"1149",153,"1"
"1150",40,"1"
"1151",33,"1"
"1152",122,"1"
"1153",107,"1"
"1154",133,"1"
