brand,P,D,C
amore,0.34482758620689685,0.9962638291438904,1.0
hanyul,1.0,0.9871016973405133,1.0
hera,0.9310344827586209,0.9914380438498782,1.0
iope,0.3837597330367079,0.9920280171954398,1.0
laneige,0.7339901477832514,0.9641803870708309,1.0
mamonde,0.7563959955506119,0.9834937343828682,1.0
primera,0.8204518430439955,0.9803448073162998,1.0
sulhwasoo,0.5410225921522003,1.0,1.0
