,P,D,C
amore,0.34482758620689685,0.9962638291438904,0.23623623623623624
hanyul,1.0,0.9871016973405133,0.24024024024024024
hera,0.9310344827586209,0.9914380438498782,1.0
iope,0.3837597330367079,0.9920280171954398,0.23623623623623624
laneige,0.7339901477832514,0.9641803870708309,0.2852852852852853
mamonde,0.7563959955506119,0.9834937343828682,0.34434434434434436
primera,0.8204518430439955,0.9803448073162998,0.23923923923923923
sulhwasoo,0.5410225921522003,1.0,0.23723723723723725
